member_id,emp_title,emp_length,home_ownership,annual_income,address_state,address_zip_code,address_country,grade,sub_grade,verification_status,total_high_credit_limit,application_type,joint_annual_income,verification_status_joint,ingest_date
b59d80da191f5b573a0c32651a737e10d556922718993fb0982540d0451525ef,"",5,RENT,50000.0,OR,973xx,USA,A,A5,Source Verified,8600.0,Individual,"","",2024-07-31T14:48:55.288+05:30
e5a140c0922b554b9b0b0eb5678822d714ebe8f7c35e841e63fac18572495d00,community living instructor,6,RENT,48000.0,NY,146xx,USA,B,B2,Source Verified,85092.0,Individual,"","",2024-07-31T14:48:55.288+05:30
e12aefc548f7507777ea609555db00bbfc850c8c17ef4bdcb72c40e480de3a9f,Office,10,OWN,33000.0,CT,067xx,USA,F,F1,Verified,7100.0,Individual,"","",2024-07-31T14:48:55.288+05:30
1c4329e5f17697127416613858ac41cfa14749a07af25f6af2b479d1cb362aaa,Mine ops tech 6,2,MORTGAGE,68000.0,AZ,855xx,USA,C,C3,Not Verified,182453.0,Individual,"","",2024-07-31T14:48:55.288+05:30
5026c86ad983175eb1bb702ecfd85fc7f389045358dc898304f21e0c9fe91350,caregiver,4,RENT,76020.0,WA,993xx,USA,C,C2,Source Verified,15308.0,Individual,"","",2024-07-31T14:48:55.288+05:30
9847d8c1e9d0b2084ac3385da5c45b119eec7db31765bb25a9473c37c9a6c48c,"",5,OWN,65000.0,IL,624xx,USA,E,E3,Verified,128800.0,Individual,"","",2024-07-31T14:48:55.288+05:30
8340dbe1adea41fb4bd15189c5c8990b0991d8c2b101a28dff206447810f7c77,Vice President Regional Director,8,MORTGAGE,111000.0,CT,063xx,USA,A,A1,Not Verified,343507.0,Individual,"","",2024-07-31T14:48:55.288+05:30
d4de0de3ab7d79ad46f37b9df3eb7ade3b484983a811820eb1d52aeeff9e19dd,FOREMAN,10,MORTGAGE,67000.0,WA,992xx,USA,G,G2,Verified,211501.0,Individual,"","",2024-07-31T14:48:55.288+05:30
9dd72636b1b4045b478309ed675546f9fec47fcee292c5f1147900583bc710e9,Office Manager,2,RENT,52000.0,FL,327xx,USA,D,D1,Source Verified,39393.0,Individual,"","",2024-07-31T14:48:55.288+05:30
1d4e1ef4353b73c00c036adb89089d9f1c225e722fc35a8fa12d523885cf2f8e,Electrician,2,MORTGAGE,50000.0,IL,606xx,USA,C,C3,Not Verified,66064.0,Individual,"","",2024-07-31T14:48:55.288+05:30
6f196952e71277fd46ddbd9e2c5bae65163a66447c1e57287f543fa8ac98c953,Finance Manager,1,MORTGAGE,125000.0,GA,310xx,USA,E,E2,Source Verified,555591.0,Individual,"","",2024-07-31T14:48:55.288+05:30
9c617cbc6e3e3d6a1dd79b6ad113ea5f7fd72b400a123aa6e745efd8c2d3881d,Nurse practitioner,5,MORTGAGE,165000.0,IL,610xx,USA,F,F1,Source Verified,366113.0,Individual,"","",2024-07-31T14:48:55.288+05:30
08d233c81f9e507262dff1585842c238624c4099b5f4bfd7849f02e3e533d1ca,caregiver,2,RENT,36000.0,MO,648xx,USA,C,C1,Source Verified,14477.0,Individual,"","",2024-07-31T14:48:55.288+05:30
8ff4d0ed17a1cab929431cce48e552649ba23a6fafe11728c62240e86491ef47,owner,10,MORTGAGE,28000.0,CO,801xx,USA,D,D1,Verified,314400.0,Individual,"","",2024-07-31T14:48:55.288+05:30
aec13cfd611b2cfead62431c39888a3aea0613af4aeb3a645a41863e681a938d,Community Supervision Officer II,2,RENT,33000.0,GA,306xx,USA,D,D2,Source Verified,188700.0,Individual,"","",2024-07-31T14:48:55.288+05:30
9ba8c96ccba6cd1f04d0c303f68f8ea4531df09c4cda111f09ea199fd8416e97,Contract Specialist,5,MORTGAGE,74700.0,UT,844xx,USA,D,D4,Verified,614272.0,Individual,"","",2024-07-31T14:48:55.288+05:30
38fed280afeed91baf5532f30e67442b43be64c737247b06ad709f7584fed940,Chef,3,MORTGAGE,58000.0,PA,170xx,USA,E,E4,Source Verified,200638.0,Individual,"","",2024-07-31T14:48:55.288+05:30
9a51bdc18e2728f9d3d810bf3d5bc39a78e1f3478abfd5d3a349eb204ea9cbf8,HR Administrator,3,MORTGAGE,98000.0,IL,604xx,USA,B,B5,Source Verified,89316.0,Individual,"","",2024-07-31T14:48:55.288+05:30
2cf47faee0c996343d486e2c7fab8952a3b93ea1c61c39aceaa2c9555bd790fd,medical assistant,2,RENT,25000.0,NY,103xx,USA,F,F1,Source Verified,41964.0,Individual,"","",2024-07-31T14:48:55.288+05:30
220e4dd490018abffc643f39e42c93b40a5ed0aa29893235fd1ee53c7a4f8a25,Office Manager,3,MORTGAGE,55500.0,OH,440xx,USA,F,F4,Source Verified,162192.0,Individual,"","",2024-07-31T14:48:55.288+05:30
