loan_id,member_id,loan_amount,funded_amnt,loan_term_years,interest_rate,monthly_installment,issue_date,loan_status,loan_purpose,loan_title,ingest_date
56633077,b59d80da191f5b573a0c32651a737e10d556922718993fb0982540d0451525ef,3000.0,3000.0,3,7.89,93.86,Aug-2015,Fully Paid,credit_card,Credit card refinancing,2024-07-31T14:48:58.175+05:30
55927518,202d9f56ecb7c3bc96118fa364fe225e2ff62819ae02170e37e2f60f1a536820,15600.0,15600.0,3,7.89,488.06,Aug-2015,Fully Paid,credit_card,Credit card refinancing,2024-07-31T14:48:58.175+05:30
56473345,e5a140c0922b554b9b0b0eb5678822d714ebe8f7c35e841e63fac18572495d00,20000.0,20000.0,3,9.17,637.58,Aug-2015,Fully Paid,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
56463188,e12aefc548f7507777ea609555db00bbfc850c8c17ef4bdcb72c40e480de3a9f,11200.0,11200.0,5,21.99,309.27,Aug-2015,Fully Paid,home_improvement,Home improvement,2024-07-31T14:48:58.175+05:30
56473316,1b3a50d854fbbf97e9e0fa20482d7bfc02c6c32b01b47efafcc86b2e17d2ff99,16000.0,16000.0,5,20.99,432.77,Aug-2015,Charged Off,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
56663266,1c4329e5f17697127416613858ac41cfa14749a07af25f6af2b479d1cb362aaa,20000.0,20000.0,5,13.33,458.45,Aug-2015,Charged Off,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
56483027,5026c86ad983175eb1bb702ecfd85fc7f389045358dc898304f21e0c9fe91350,10000.0,10000.0,3,12.69,335.45,Aug-2015,Fully Paid,other,Other,2024-07-31T14:48:58.175+05:30
56613385,9847d8c1e9d0b2084ac3385da5c45b119eec7db31765bb25a9473c37c9a6c48c,23400.0,23400.0,5,19.19,609.46,Aug-2015,Current,small_business,Business,2024-07-31T14:48:58.175+05:30
56643620,8340dbe1adea41fb4bd15189c5c8990b0991d8c2b101a28dff206447810f7c77,16000.0,16000.0,3,5.32,481.84,Jul-2015,Fully Paid,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
56533114,d4de0de3ab7d79ad46f37b9df3eb7ade3b484983a811820eb1d52aeeff9e19dd,25450.0,25450.0,3,27.31,1043.24,Aug-2015,Charged Off,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
56984127,3df3cdeddb74a8712b5c1e0236b4dcdf57e5c705e2cc532347c0fdbf33aec2fe,24000.0,24000.0,3,7.89,750.86,Aug-2015,Fully Paid,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
56131038,9dd72636b1b4045b478309ed675546f9fec47fcee292c5f1147900583bc710e9,12000.0,12000.0,5,15.61,289.34,Aug-2015,Current,credit_card,Credit card refinancing,2024-07-31T14:48:58.175+05:30
56452581,1d4e1ef4353b73c00c036adb89089d9f1c225e722fc35a8fa12d523885cf2f8e,25000.0,25000.0,3,13.33,846.33,Jul-2015,Fully Paid,home_improvement,Home improvement,2024-07-31T14:48:58.175+05:30
56685321,6f196952e71277fd46ddbd9e2c5bae65163a66447c1e57287f543fa8ac98c953,35000.0,35000.0,5,18.55,899.28,Aug-2015,Charged Off,small_business,Business,2024-07-31T14:48:58.175+05:30
56563360,9c617cbc6e3e3d6a1dd79b6ad113ea5f7fd72b400a123aa6e745efd8c2d3881d,25000.0,25000.0,5,21.99,690.34,Aug-2015,Current,credit_card,Credit card refinancing,2024-07-31T14:48:58.175+05:30
56533113,45eb04dd75400a9428ae1896cd93c77f7ee79509fc7b138429abe9836d816196,20000.0,20000.0,3,13.99,683.46,Aug-2015,Fully Paid,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
