loan_id,total_principle_received,total_interest_received,total_late_fee_received,total_payment_received,last_payment_amount,last_payment_date,next_payment_date
141581221,1055.81,2591.7,0.0,3647.51,709.23,Mar-2019,Apr-2019
141506948,1252.75,306.04,0.0,1558.79,312.63,Mar-2019,Apr-2019
141357400,626.37,354.96,0.0,981.33,197.27,Mar-2019,Apr-2019
139445427,1118.16,297.36,0.0,1415.52,283.95,Mar-2019,Apr-2019
141407409,1169.72,3605.3,0.0,4775.02,964.9,Mar-2019,Apr-2019
141360802,2313.98,2512.88,0.0,4826.86,952.02,Mar-2019,Apr-2019
141163960,4689.63,1994.93,0.0,6684.56,1342.57,Mar-2019,Apr-2019
141533932,585.29,640.53,15.0,1240.82,235.13,Mar-2019,Apr-2019
141441276,2030.82,762.81,0.0,2793.63,477.62,Mar-2019,Apr-2019
141569080,1803.55,1110.59,0.0,2914.14,585.91,Mar-2019,Apr-2019
140961277,1144.71,559.56,0.0,1704.27,344.07,Mar-2019,Apr-2019
141466656,1297.9,838.42,0.0,2136.32,429.59,Mar-2019,Apr-2019
141575085,613.26,510.47,0.0,1123.73,226.16,Mar-2019,Apr-2019
141429235,4008.76,1058.83,0.0,5067.59,1000.41,Mar-2019,Apr-2019
141545082,1297.9,838.42,0.0,2136.32,429.59,Mar-2019,Apr-2019
141584203,747.08,243.73,0.0,990.81,193.84,Mar-2019,Apr-2019
141201047,2266.29,1184.57,34.68,3485.54,693.51,Mar-2019,Apr-2019
140580869,1450.9,491.42,0.0,1942.32,389.86,Mar-2019,Apr-2019
141539871,2290.47,468.26,0.0,2758.73,553.08,Mar-2019,Apr-2019
141386443,1173.43,1161.79,0.0,2335.22,470.26,Mar-2019,Apr-2019
141362244,1106.57,664.44,0.0,1771.01,356.08,Mar-2019,Apr-2019
139760995,5089.9,1040.58,0.0,6130.48,1229.06,Mar-2019,Apr-2019
141575029,655.27,403.48,0.0,1058.75,212.87,Mar-2019,Apr-2019
141365115,1490.82,427.51,0.0,1918.33,378.59,Mar-2019,Apr-2019
141251216,906.86,292.6,0.0,1199.46,243.67,Mar-2019,Apr-2019
141458279,1018.2,1604.62,0.0,2622.82,528.99,Mar-2019,Apr-2019
140751762,327.13,211.97,0.0,539.1,108.42,Mar-2019,Apr-2019
141579428,2418.18,819.04,0.0,3237.22,649.77,Mar-2019,Apr-2019
141124361,38400.0,899.51,0.0,39299.507010372996,36894.58,Jan-2019,""
141583516,719.69,259.67,0.0,979.36,196.61,Mar-2019,Apr-2019
140924283,1895.02,440.0,0.0,2335.02,464.6,Mar-2019,Apr-2019
141044406,418.55,329.21,0.0,747.76,150.48,Mar-2019,Apr-2019
141576138,2648.22,1602.23,0.0,4250.45,854.6,Mar-2019,Apr-2019
141415322,598.28,1268.41,0.0,1866.69,366.63,Mar-2019,Apr-2019
141314271,2344.84,997.47,0.0,3342.31,671.29,Mar-2019,Apr-2019
140740334,1144.71,535.45,0.0,1680.16,344.07,Mar-2019,Apr-2019
141465882,523.19,411.51,0.0,934.7,188.1,Mar-2019,Apr-2019
141473303,589.06,600.69,0.0,1189.75,239.64,Mar-2019,Apr-2019
141510455,1452.87,1064.42,0.0,2517.29,506.41,Mar-2019,Apr-2019
141570885,1157.0,1264.78,0.0,2421.78,476.01,Mar-2019,Apr-2019
141464655,579.6,265.78,0.0,845.38,169.83,Mar-2019,Apr-2019
140491416,1310.48,806.97,0.0,2117.45,425.73,Mar-2019,Apr-2019
141557117,335.56,190.15,0.0,525.71,105.68,Mar-2019,Apr-2019
140576233,2161.65,1958.58,0.0,4120.23,829.47,Mar-2019,Apr-2019
141385796,2289.37,1135.2,0.0,3424.57,688.13,Mar-2019,Apr-2019
141580554,1439.34,573.34,0.0,2012.68,393.21,Mar-2019,Apr-2019
141147597,339.49,250.97,0.0,590.46,118.8,Mar-2019,Apr-2019
141321165,1240.35,2104.59,0.0,3344.94,674.79,Mar-2019,Apr-2019
141403129,667.22,253.19,0.0,920.41,184.8,Mar-2019,Apr-2019
141537697,1800.08,480.45,0.0,2280.53,457.47,Mar-2019,Apr-2019
140568481,1062.47,969.26,0.0,2031.73,352.69,Mar-2019,Apr-2019
141579778,3131.84,765.12,0.0,3896.96,781.57,Mar-2019,Apr-2019
139678361,715.85,405.66,0.0,1121.51,225.45,Mar-2019,Apr-2019
141537433,2658.11,1058.33,0.0,3716.44,737.55,Mar-2019,Apr-2019
141580386,2000.0,13.65,0.0,2013.6513447845002,664.81,Nov-2018,""
141550328,1118.54,633.84,0.0,1752.38,352.27,Mar-2019,Apr-2019
140658560,947.54,694.19,0.0,1641.73,330.27,Mar-2019,Apr-2019
141504389,1429.76,542.54,0.0,1972.3,396.0,Mar-2019,Apr-2019
141581267,4421.71,984.62,0.0,5406.33,1084.07,Mar-2019,Apr-2019
141386771,20000.0,769.4,0.0,20769.4005533777,19844.96,Jan-2019,""
141386692,3105.89,826.01,0.0,3931.9,788.73,Mar-2019,Apr-2019
141484714,2919.69,379.25,0.0,3298.94,460.9,Mar-2019,Apr-2019
141427414,1010.7,218.65,0.0,1229.35,247.79,Mar-2019,Apr-2019
141327096,1308.35,847.92,0.0,2156.27,433.65,Mar-2019,Apr-2019
140382706,1068.39,399.5,0.0,1467.89,294.69,Mar-2019,Apr-2019
141301731,2595.76,1596.43,0.0,4192.19,859.17,Mar-2019,Apr-2019
141265361,1101.9,1359.76,0.0,2461.66,496.09,Mar-2019,Apr-2019
141579902,786.89,952.0,0.0,1738.89,341.5,Mar-2019,Apr-2019
141124078,595.37,1010.2,0.0,1605.57,323.9,Mar-2019,Apr-2019
141447798,1191.47,452.11,0.0,1643.58,330.0,Mar-2019,Apr-2019
141326448,501.14,126.78,0.0,627.92,125.06,Mar-2019,Apr-2019
141566765,1799.16,649.17,0.0,2448.33,491.51,Mar-2019,Apr-2019
141485147,1272.51,263.84,0.0,1536.35,307.27,Mar-2019,Apr-2019
140650884,3987.4,1828.59,0.0,5815.99,1168.38,Mar-2019,Apr-2019
141561437,1813.65,614.28,0.0,2427.93,487.33,Mar-2019,Apr-2019
141439139,1073.9,819.47,0.0,1893.37,374.31,Mar-2019,Apr-2019
141381355,3158.38,703.31,0.0,3861.69,774.34,Mar-2019,Apr-2019
141174761,783.5,292.97,0.0,1076.47,216.11,Mar-2019,Apr-2019
141393167,1263.37,281.32,0.0,1544.69,309.74,Mar-2019,Apr-2019
140652864,3205.01,595.5,0.0,3800.51,761.8,Mar-2019,Apr-2019
141466606,1030.22,510.84,0.0,1541.06,309.66,Mar-2019,Apr-2019
140560846,966.52,1410.46,0.0,2376.98,479.29,Mar-2019,Apr-2019
141464410,1298.27,561.6,0.0,1859.87,380.41,Mar-2019,Apr-2019
140116323,1179.04,584.63,0.0,1763.67,354.39,Mar-2019,Apr-2019
139839023,1308.35,847.92,0.0,2156.27,433.65,Mar-2019,Apr-2019
141572122,1309.8,1217.84,0.0,2527.64,439.34,Mar-2019,Apr-2019
141573660,1928.3,2560.42,0.0,4488.72,868.15,Mar-2019,Apr-2019
141363862,159.04,154.24,0.0,313.28,63.09,Mar-2019,Apr-2019
140634524,1217.94,240.81,0.0,1458.75,289.49,Mar-2019,Apr-2019
141544293,1813.65,614.28,0.0,2427.93,487.33,Mar-2019,Apr-2019
141580423,1406.88,598.48,0.0,2005.36,402.77,Mar-2019,Apr-2019
141457000,332.0,199.33,0.0,531.33,106.83,Mar-2019,Apr-2019
141204059,1533.04,1276.18,0.0,2809.22,565.38,Mar-2019,Apr-2019
141444789,966.6,328.3,0.0,1294.9,259.91,Mar-2019,Apr-2019
141587549,671.11,380.31,0.0,1051.42,211.36,Mar-2019,Apr-2019
141288439,1002.23,265.8,0.0,1268.03,250.11,Mar-2019,Apr-2019
140563675,886.11,459.73,0.0,1345.84,270.47,Mar-2019,Apr-2019
141480487,1118.54,633.84,0.0,1752.38,352.27,Mar-2019,Apr-2019
140246967,2493.5,483.11,0.0,2976.61,592.68,Mar-2019,Apr-2019
56452581,25000.0,5435.67,0.0,30435.670232535602,2525.29,Jun-2018,""
